AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.471073,0.012100,0.496704,0.446838,0.049866,1.040931,0.471228,0.029690,6.907426,0.064689,0.015108,0.089844,0.039734,0.050110,1.404367,0.066428,0.006308,6.880083,0.282633,0.035863,0.348022,0.223083,0.124939,1.410154,0.284897,0.009103,6.899675,0
0.470361,0.012386,0.497070,0.446167,0.050903,1.051190,0.470524,0.029421,6.907409,0.064682,0.015268,0.091614,0.039734,0.051880,1.417149,0.066458,0.014857,6.879464,0.282925,0.036276,0.341675,0.222229,0.119446,1.406605,0.285239,0.021415,6.899500,0
0.473374,0.012495,0.498108,0.448608,0.049500,1.013715,0.473538,0.018253,6.907407,0.065485,0.015720,0.092224,0.036926,0.055298,1.392922,0.067343,0.022855,6.878450,0.284528,0.037267,0.344177,0.219604,0.124573,1.413132,0.286956,0.029235,6.899136,0
0.471403,0.012025,0.496643,0.448792,0.047851,1.035524,0.471557,0.049469,6.907430,0.064632,0.015017,0.089905,0.038147,0.051758,1.402390,0.066352,0.007793,6.880368,0.282529,0.035521,0.343323,0.220886,0.122437,1.414797,0.284751,0.025376,6.899818,0
0.469924,0.012191,0.494568,0.446899,0.047669,1.068987,0.470082,0.033258,6.907419,0.065110,0.015291,0.091736,0.039001,0.052735,1.404852,0.066880,0.019965,6.879740,0.283725,0.036333,0.342468,0.219543,0.122925,1.407711,0.286039,0.018012,6.899522,0
0.473229,0.012522,0.498291,0.448303,0.049988,1.060139,0.473395,0.003792,6.907405,0.064944,0.015580,0.090820,0.039062,0.051758,1.389557,0.066785,0.015516,6.878507,0.283224,0.036768,0.343506,0.221924,0.121582,1.413570,0.285598,0.025378,6.899290,0
0.471933,0.012078,0.497314,0.448486,0.048828,1.004271,0.472087,0.048085,6.907428,0.064447,0.015274,0.090088,0.038940,0.051148,1.398311,0.066231,0.010482,6.879236,0.281970,0.036170,0.343689,0.222595,0.121094,1.408374,0.284278,0.018958,6.899493,0
0.469769,0.012112,0.494751,0.447083,0.047668,1.042140,0.469925,0.027415,6.907423,0.064659,0.015098,0.090332,0.038025,0.052307,1.401515,0.066397,0.016498,6.880073,0.282750,0.035952,0.341125,0.222778,0.118347,1.407541,0.285024,0.025847,6.899636,0
0.473109,0.012520,0.498352,0.449280,0.049072,1.063219,0.473274,0.022109,6.907405,0.064887,0.015736,0.092224,0.038391,0.053833,1.395581,0.066766,0.013706,6.877861,0.283136,0.037098,0.344666,0.221191,0.123475,1.409036,0.285553,0.011504,6.899136,0
0.472362,0.012100,0.496765,0.449707,0.047058,1.073539,0.472517,0.027402,6.907427,0.064435,0.015182,0.089905,0.038696,0.051209,1.394431,0.066198,0.018103,6.879553,0.282106,0.035844,0.342773,0.223083,0.119690,1.397383,0.284372,0.020803,6.899649,0
0.469384,0.011987,0.494446,0.445984,0.048462,1.015158,0.469537,0.027201,6.907429,0.064252,0.015050,0.090088,0.039490,0.050598,1.409389,0.065989,0.029872,6.879866,0.281803,0.035777,0.341370,0.221191,0.120179,1.423832,0.284063,0.030960,6.899659,0
0.472463,0.012614,0.498230,0.448486,0.049744,1.030293,0.472631,0.026820,6.907399,0.065882,0.015694,0.094604,0.037476,0.057128,1.370982,0.067724,0.005913,6.878942,0.285076,0.037078,0.350220,0.221802,0.128418,1.422614,0.287475,0.021209,6.899260,0
0.472063,0.012094,0.496704,0.449829,0.046875,1.068233,0.472218,0.063060,6.907428,0.064714,0.015280,0.091797,0.038330,0.053467,1.394692,0.066492,0.015808,6.879440,0.282286,0.036192,0.340088,0.221191,0.118897,1.408612,0.284594,0.018536,6.899502,0
0.468620,0.011861,0.492859,0.446167,0.046692,1.031762,0.468769,0.030538,6.907435,0.064310,0.014898,0.090210,0.038879,0.051331,1.390678,0.066011,0.035143,6.880469,0.281470,0.035495,0.338928,0.220764,0.118164,1.407461,0.283697,0.037466,6.899765,0
0.471737,0.012513,0.496155,0.448120,0.048035,1.045854,0.471902,0.024711,6.907404,0.064946,0.015487,0.090332,0.037964,0.052368,1.414627,0.066765,0.011819,6.878880,0.282695,0.036553,0.342712,0.222290,0.120422,1.415221,0.285046,0.019657,6.899360,0
0.472251,0.012184,0.496277,0.450500,0.045777,1.116356,0.472408,0.033414,6.907423,0.064785,0.015424,0.091614,0.038330,0.053284,1.397222,0.066594,0.006514,6.878978,0.282334,0.036343,0.342896,0.222168,0.120728,1.406287,0.284662,0.015091,6.899436,0
0.468682,0.011968,0.492920,0.445740,0.047180,1.019290,0.468834,0.027729,6.907429,0.064371,0.014821,0.087891,0.037720,0.050171,1.418979,0.066054,0.053330,6.880774,0.281537,0.035415,0.341125,0.220215,0.120910,1.425750,0.283753,0.048421,6.899802,0
0.471225,0.012455,0.495728,0.447632,0.048096,1.021503,0.471390,0.017951,6.907406,0.064669,0.015435,0.090820,0.038086,0.052734,1.414870,0.066484,0.012809,6.878821,0.282319,0.036486,0.342468,0.220825,0.121643,1.432569,0.284665,0.027861,6.899366,0
0.472518,0.012226,0.496643,0.448303,0.048340,1.078456,0.472676,0.026345,6.907421,0.065599,0.015621,0.093018,0.037720,0.055298,1.372391,0.067431,0.001023,6.878977,0.284286,0.036774,0.352600,0.222534,0.130066,1.367848,0.286652,0.011690,6.899354,0
0.469014,0.011951,0.492554,0.445740,0.046814,1.022303,0.469166,0.023254,6.907431,0.064546,0.014838,0.089233,0.039429,0.049804,1.393628,0.066228,0.036524,6.880893,0.282100,0.035405,0.341125,0.223633,0.117492,1.396071,0.284311,0.039127,6.899841,0
0.471035,0.012574,0.497314,0.446289,0.051025,0.993830,0.471203,0.040928,6.907399,0.064993,0.015328,0.090759,0.039368,0.051391,1.404817,0.066774,0.022315,6.879491,0.282910,0.036491,0.340576,0.224182,0.116394,1.430029,0.285252,0.015519,6.899403,0
